1, 
2, 
3, 
4, 
5, sit
6, sit
7, sit
8, sit
9, sit
10, sit
11, sit
12, sit
13, sit
14, sit
15, sit
16, sit
17, sit
18, sit
19, sit
20, sit
21, sit
22, sit
23, sit
24, sit
25, sit
26, sit
27, sit
28, sit
29, sit
30, sit
31, sit
32, sit
33, sit
34, sit
35, sit
36, sit
37, sit
38, sit
39, sit
40, sit
41, sit
42, sit
43, sit
44, sit
45, sit
46, sit
47, sit
48, sit
49, sit
50, sit
51, sit
52, sit
53, sit
54, sit
55, sit
56, sit
57, sit
58, sit
59, sit
60, sit
61, sit
62, sit
63, sit
64, sit
65, sit
66, sit
67, sit
68, sit
69, sit
70, sit
71, sit
72, sit
73, sit
74, sit
75, sit
76, sit
77, sit
78, sit
79, sit
80, sit
81, sit
82, sit
83, sit
84, sit
85, sit
86, sit
87, sit
88, sit
89, sit
90, sit
91, sit
92, sit
93, sit
94, sit
95, sit
96, sit
97, sit
98, sit
99, sit
100, sit
101, sit
102, sit
103, sit
104, sit
105, sit
106, sit
107, sit
108, sit
109, sit
110, sit
111, sit
112, sit
113, sit
114, sit
115, sit
116, sit
117, sit
118, sit
119, sit
120, sit
121, sit
122, sit
123, sit
124, sit
125, sit
126, sit
127, sit
128, sit
129, sit
130, sit
131, sit
132, sit
133, sit
134, sit
135, sit
136, sit
137, sit
138, sit
139, sit
140, sit
141, sit
142, sit
143, sit
144, sit
145, sit
146, sit
147, sit
148, sit
149, sit
150, sit
151, sit
152, sit
153, sit
154, sit
155, sit
156, sit
157, sit
158, sit
159, sit
160, sit
161, sit
162, sit
163, sit
164, sit
165, sit
166, sit
167, sit
168, sit
169, sit
170, sit
171, sit
172, sit
173, sit
174, sit
175, sit
176, sit
177, sit
178, sit
179, sit
180, sit
181, sit
182, sit
183, sit
184, sit
185, sit
186, sit
187, sit
188, sit
189, walk
190, walk
191, walk
192, walk
193, walk
194, walk
195, walk
196, walk
197, walk
198, walk
199, walk
200, walk
201, walk
202, walk
203, walk
204, walk
205, walk
206, walk
207, walk
208, walk
209, walk
210, walk
211, walk
212, walk
213, walk
214, walk
215, walk
216, walk
217, walk
218, walk
219, walk
220, walk
221, walk
222, walk
223, walk
224, walk
225, walk
226, walk
227, walk
228, walk
229, walk
230, walk
231, walk
232, walk
233, walk
234, walk
235, walk
236, walk
237, walk
238, walk
239, walk
240, walk
241, walk
242, walk
243, walk
244, walk
245, walk
246, walk
247, walk
248, walk
249, walk
250, walk
251, walk
252, walk
253, walk
254, walk
255, walk
256, walk
257, walk
258, walk
259, walk
260, walk
261, walk
262, walk
263, walk
264, walk
265, walk
266, walk
267, walk
268, walk
269, walk
270, walk
271, walk
272, walk
273, walk
274, walk
275, walk
276, walk
277, walk
278, sit
279, sit
280, sit
281, sit
282, sit
283, sit
284, sit
285, sit
286, sit
287, sit
288, sit
289, sit
290, sit
291, sit
292, sit
293, sit
294, sit
295, sit
296, sit
297, sit
298, sit
299, sit
300, stand
301, stand
302, stand
303, stand
304, stand
305, stand
306, stand
307, walk
308, walk
309, walk
310, walk
311, sit
312, sit
313, sit
314, sit
315, sit
316, sit
317, sit
318, sit
319, sit
320, sit
321, sit
322, sit
323, sit
324, sit
325, sit
326, sit
327, sit
328, sit
329, sit
330, sit
331, sit
332, sit
333, sit
334, sit
335, sit
336, sit
337, sit
338, sit
339, sit
340, sit
341, sit
342, sit
343, sit
344, sit
345, sit
346, sit
347, sit
348, sit
349, sit
350, sit
351, sit
352, sit
353, sit
354, sit
355, sit
356, sit
357, sit
358, sit
359, sit
360, sit
361, sit
362, sit
